Waterbody Name,Waterbody ID Code (WBIC),Invasive Species
Lower Eau Claire Lake,2741600,"Banded Mystery Snail, Curly-Leaf Pondweed, Purple Loosestrife, Rusty Crayfish"
McCarry Lake,2903400,Eurasian Water-Milfoil
Middle Eau Claire Lake,2742100,"Banded Mystery Snail, Curly-Leaf Pondweed, Rusty Crayfish"
Mill Pond Lake,2876000,"Chinese Mystery Snail, Yellow Iris"
Mulligan Creek,2742900,Curly-Leaf Pondweed
Namekagon Lake,2732600,"Chinese Mystery Snail, Hybrid Eurasian / Northern Water-Milfoil, Purple Loosestrife"
Namekagon River,2689500,"Chinese Mystery Snail, Hybrid Eurasian / Northern Water-Milfoil"
Pike Lake,2904000,Rusty Crayfish
Pikes Creek,2884500,Purple Loosestrife
Robinson Lake,2743300,Banded Mystery Snail
Sand Bar Lake,2494900,Eurasian Water-Milfoil
Shunenberg Lake,2743600,Curly-Leaf Pondweed
Smith Lake,2743500,Curly-Leaf Pondweed
Taylor Creek,2733300,Hybrid Eurasian / Northern Water-Milfoil
Tomahawk Lake,2501700,"Banded Mystery Snail, Eurasian Water-Milfoil"
Twin Bear Lake,2903100,"Chinese Mystery Snail, Eurasian Water-Milfoil, Rusty Crayfish"
Twin Lakes,2832200,Banded Mystery Snail
Unnamed,2732700,Hybrid Eurasian / Northern Water-Milfoil
Unnamed,2735100,Hybrid Eurasian / Northern Water-Milfoil
Unnamed,2735300,Hybrid Eurasian / Northern Water-Milfoil
Unnamed,2742400,Curly-Leaf Pondweed
Unnamed,2743100,Curly-Leaf Pondweed
Unnamed,2890700,"Eurasian Water-Milfoil, Purple Loosestrife"
Unnamed,2903500,Rusty Crayfish
Unnamed,2903900,"Eurasian Water-Milfoil, Purple Loosestrife, Rusty Crayfish, Yellow Iris"
Unnamed,5001388,Eurasian Water-Milfoil
Upper Eau Claire Lake,2742700,"Chinese Mystery Snail, Curly-Leaf Pondweed, Rusty Crayfish"
Wiley Lake,2729800,"Purple Loosestrife, Yellow Iris"
Brown County (113),,
Apple Creek,124100,"Round Goby, Rusty Crayfish"
Ashwaubenon Creek,122200,Round Goby
Baird Creek,118100,"Phragmites (non-native), Rusty Crayfish"
Beaver Dam Creek,410100,"Phragmites (non-native), Purple Loosestrife, Round Goby, Rusty Crayfish"
Branch River,71300,Rusty Crayfish
Devils River,89900,Rusty Crayfish
Duck Creek,409700,"Eurasian Water-Milfoil, Phragmites (non-native), Purple Loosestrife, Round Goby, Rusty Crayfish, Zebra Mussel"
Dutchman Creek,121600,"Round Goby, Rusty Crayfish"
East River,118000,"Japanese knotweed (Fallopia japonica), Phragmites (non-native), Purple Loosestrife, Round Goby, Rusty Crayfish, Water Hyacinth, Zebra Mussel"
East River Trib,3000105,Rusty Crayfish
Fox River,117900,"Asiatic Clam (Corbicula), Chinese Mystery Snail, Curly-Leaf Pondweed, Eurasian Water-Milfoil, Phragmites (non-native), Purple Loosestrife, Round Goby, Water Hyacinth, Zebra Mussel"
Green Bay,70,Eurasian Water-Milfoil
Kewaunee River,90700,Rusty Crayfish
Lake Michigan,20,"Eurasian Water-Milfoil, Round Goby, Zebra Mussel"
Lilly Lake,82900,"Chinese Mystery Snail, Curly-Leaf Pondweed, Eurasian Water-Milfoil, Purple Loosestrife"
Neshota River,88200,Rusty Crayfish
North Branch Suamico River,411400,Rusty Crayfish
Plum Creek,125100,"Curly-Leaf Pondweed, Eurasian Water-Milfoil, Purple Loosestrife, Round Goby, Rusty Crayfish, Zebra Mussel"
Scarboro Creek,91000,Rusty Crayfish
School Creek,92200,Rusty Crayfish
Suamico River,410900,"European Frogbit, Rusty Crayfish"
Trout Creek,410200,"Phragmites (non-native), Rusty Crayfish"
Twin Hill Creek,89600,Rusty Crayfish
Unnamed,119200,Rusty Crayfish
Unnamed,119300,Rusty Crayfish
Unnamed,119400,Rusty Crayfish
